野球の発祥国は？,2,ドミニカ共和国,アメリカ合衆国,日本,台湾
日本の木製バットの主流として使われる材質は何？,3,メイプル,ホワイトアッシュ,アオダモ,ヒノキ
硬式野球ボールの皮の材質として使われるのは？,1,牛,豚,熊,鳥
日本初のドーム球場はどれ？,3,バンテリンドーム　ナゴヤ,福岡PayPayドーム,東京ドーム,京セラドーム大阪
日本では優勝したチームがビール掛けを行うが、メジャーでは何を掛け合うか？,4,ワイン,ビール,テキーラ,シャンパン
硬式木製バットの規格サイズはバットの全長何インチまで可能？,1,42インチ（106.7cm）,43インチ（109.2cm）,44インチ（111.76cm）,45インチ（114.3cm）
硬式球1球当たりの重さで正しいものはどれ？,3,125.5〜130.9g,133.4〜140.2g,141.7〜148.8g,153.1g〜155.0g
一般・プロで採用されているピッチングプレートの横幅は何インチ？,4,21インチ（53.34cm）,22インチ（55.88cm）,23インチ（58.42cm）,24インチ（60.96cm）
捕手は投手とよく連携をとる意味から比喩表現でなんと呼ばれる？,4,親父,旦那,親友,女房
一般・プロで採用されている塁ベースの一辺の長さは何インチ？,2,14インチ（35.56cm）,15インチ（38.1cm）,16インチ（40.64cm）,17インチ（43.18cm）
バッターボックスやファールゾーンを表すラインの幅で正しいものはどれ？,3,1インチ（2.54cm）,2インチ（5.08cm）,3インチ（7.6cm）,4インチ（10.16cm）
あとが無い試合や大1番の試合なので普段起こらないことが起こることをグラウンドに何がいるという？,4,神様,魔女,怪物,魔物
日本のプロ野球でベンチ入りしていいコーチの人数は？,3,4人,6人,8人,10人
メンバー表の交換やグラウンドルールの確認を何という？,2,ゲームスタートミーティング,ホームプレートミーティング,監督会議,試合会議
投手がボールに異物、加工を施し不正な投球をすることがある。その中で通称スピットボールと呼ばれるのは次のうちどれか？,3,ワセリンを塗ったボール,樹脂を塗ったボール,唾液を塗ったボール,泥で汚したボール
打者を評価する指標の一つのOPSは何と何を足した値であるか？,3,打率＋長打率,打率＋出塁率,長打率＋出塁率,出塁率＋盗塁成功率
沢村賞の条件として間違っているのはどれ？,1,防御率2.00以下,200投球回以上,勝率6割以上,完投10試合以上
その年の日本のプロ野球の発展に大きく貢献した人物を対象として贈られる賞は何？,2,沢村賞,正力松太郎賞,最優秀選手賞,国民栄誉賞
女子プロ野球リーグのチームではないものはどれ？,4,京都フローラ,愛知ディオーネ,埼玉アストライア,東京ティアラ
軟式球の等級のうち準硬式はどれ？,4,M号,J号,D号,H号
